id,damuku,arousal,excitement,pleasure,contentment,sleepiness,depression,misery,distress,audio_harmonic,audio_engergy,audio_centroid,audio_contrast_low,audio_contrast_middle,audio_contrast_high,audio_zero_crossing_rate,audio_slience_rate,optical_flow_mean,optical_flow_std,video_warmc,video_heavyl,video_activep,video_hards,video_darkProportion,video_lightPropertion,video_saturation,video_color_energy,video_color_std
1-188189-000039-000049,弹幕怎么这么少？组长独白nb what 这是！？,0,1,1,1,0,0,0,0,0.011474609375,0.0628003180027008,1262.8977182438746,20.018089177543427,11.923357295995496,37.066412299091226,0.13967768937211986,0.52,6.715612471452913e-06,0.005656979978084564,-0.4190873433997965,1.9124953485324951,1.7806604992613382,-2.3620592402876053,0.8327279874213835,0.02403825995807128,87.37393081761006,3.613554706973186,5374563.150259198
1-188189-000112-000122,这不是银桑吗别骗我 话完全调皮了。。 银魂。。。 噗、、、 ……,1,1,1,0,0,0,0,0,0.011990017361111112,0.10294746607542038,1389.7943994877178,19.62537614481743,12.536202593070461,37.10095403445338,0.17136421730990786,0.07,0.0005946875899098814,0.07528255879878998,-0.3943148903495431,2.5191723663522017,1.9385080358390296,-3.3048624979526986,0.535792714884696,0.13207154088050313,140.41140068134172,15.416884544790756,4362605.046408102
1-188189-000137-000147,2333。。。。 哈哈哈 哈哈哈哈哈不要玩了 银桑哈哈 啊♂ 不愧是组长= = 吐槽无力 自爆 这是开场么.. 你OOC了吧hhhhhhhhhhh 自爆么 = =~ 别闹  2333 ..........按错了. christmas fold - -,2,2,1,0,0,0,0,0,0.012830946180555556,0.10552020370960236,1704.3339320371522,17.787934431284665,10.902585702009098,38.37289323390757,0.21070573516705068,0.17,0.149174302816391,0.31553852558135986,-0.3692761925809866,2.268067085953878,1.562015270468242,-3.219812895538522,0.669190251572327,0.08195099580712786,203.46227725366876,11.990874121968975,17336524.46046602
1-188189-000201-000211,GJ 正片呢 什么呢 - - 金樽杯？2010?? 都说了是空间跳跃,2,2,2,0,0,0,0,0,0.011574074074074072,0.14496535062789914,1662.1198500301432,16.323022520199196,11.094208673899267,38.58961866803849,0.201441892281106,0.02,0.00028007998480461543,0.07306190580129622,-0.3612913895530737,3.147391247379455,1.8369541255677315,-3.7759228536098006,0.6020230607966456,0.2478052935010483,195.50193003144653,23.362897288589373,10019354.84381156
1-294113-000000-000010,UP主第一次投稿0.0不对的地方要指出来啊 谢谢 小羽！ 为盗笔 为盗笔 为盗笔 为盗笔 为盗笔 为盗笔 xia1 看见黑天，我也滚进来了，梦殿！！！！ 不错！ 16:9 每次看都燃爆 黑天！！！ 黑天赛高⊙▽⊙ 这里的确有一五镜头，话说比起瓶邪我更爱一五啊！！！ 这个BGM…… 16:9自动哟 小哥好帅的说！！！！可为什么感觉还是受 梦殿 ，军装赛高,1,1,1,0,0,0,0,0,0.014069733796296295,0.08160863071680069,1491.86025780575,13.556122890594196,10.771282357939384,43.89155175335266,0.20115387384792627,0.11,0.00010603262489894404,0.2306843400001526,-0.3664943171116171,2.7319866255144034,1.6592705226778584,-1.4325835808899183,0.5995987654320988,0.10650205761316872,142.30979423868314,,2116997.47124332
1-294113-000011-000021,aaaa 来看梦殿 小哥 小梦 小哥！电视剧  我要电视剧 BGM燃起来 花爷。。。。 艾玛帅爆 点赞啊！！！！！QAQ！以为三爷orz 唉~~~我是第一吗 赞\(≧▽≦)/ 小哥 求BGM！小梦帅爆了QAQ bgm帅 好帅！！ 青山不改 绿水长流 后会有期 很带感~ 好帅！！ 吼吼吼 小梦超赞！！！！,2,2,2,0,0,0,0,0,0.011944806134259259,0.2827049791812897,1699.7355977457078,15.358978191460624,13.484459637184148,33.32042935280525,0.19437193980414744,0.0,0.02213278971612453,0.4149201512336731,-0.3497276248181542,2.9810931069958846,1.9271352238890112,-2.646601305298354,0.4871707818930042,0.1114506172839506,99.54048353909464,12.621399481391508,6741675.114251599
1-294113-000033-000043,小哥好帅！！！！！！！！！ 对对对 不喜欢这天真 ,0,1,0,0,0,0,0,0,0.01246021412037037,0.3600788712501526,1384.9875926797974,20.479098197612515,15.446730969025946,39.45970678135362,0.13804408482142858,0.0,0.0008798792259767653,0.08288553357124329,-0.3003914833304246,3.4308168724279837,1.682120653717359,-4.001507661394033,0.4953395061728395,0.16790123456790124,115.47010288065843,18.793289676741406,6050548.414269443
1-294113-000045-000055,不知道为什么看小羽cos天真，就感觉天真反攻了 小梦！！！ 梦殿。。。  这里虐到我了 YOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO 被吴邪的眼神戳中了ORZ 诶杀漠cos吴邪更像2333嗯嗯就是这样,2,2,0,0,0,0,0,0,0.011908637152777778,0.3022122383117676,1396.0021438272772,17.24627385395905,11.927693599987665,37.30205963094378,0.13848061275921658,0.0,0.017668306827545166,0.5508903861045837,-0.3400488358819346,2.483113683127572,1.849882137127952,-2.903078327546297,0.6463271604938272,0.07201646090534979,151.3227469135803,73.44221726339727,3524465.0790515714
1-1065435-000010-000020,什么鬼… 啊啊啊啊啊啊到底什么时候结束啊 转股是什么鬼 balabalabalabala 这是什么=-= 救命阿。 失败。。 ???? 2333333 2333333我也空降失败,0,0,0,0,2,0,0,0,0.014983000578703703,0.08635962754487991,1504.5541708672408,14.195504277212956,13.654618342505886,48.625404654635744,0.1690263176843318,0.33,0.002601496409624815,0.007655033841729164,-0.4102302354823247,2.697581161408322,1.4230780272389838,-1.5542533668409926,0.8855509830818474,0.052892089620484674,168.7996399176954,2.9602208857966,129564477.68064274
1-1065435-000227-000237,孝敏美美哒 同老司机 tara真的很棒 贤贤~~  正片开始 看我敏 空降成功 前面的都是什么鬼啊啊啊,1,0,1,1,0,0,0,0,0.011763961226851851,0.011395491659641266,963.3029875583103,15.610532973505462,13.434766465149671,42.3750684073629,0.10113497263824883,0.98,0.056105375289916985,0.13655512034893036,-0.4040349647251442,2.2769781664380435,1.6921161385833945,-2.3719219964563334,0.8544067215363511,0.011133973479652495,112.84266689529035,3.0911361213978834,27045904.59648916
